index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
12104,208,1,28/10/2013,323,1,0,0,0,2924.729597351894
361202,249,2,08/07/2014,449,1,0,0,0,4216.508080973241
79347,887,3,20/03/2013,614,1,1,0,0,6187.688502369027
462803,73,1,28/04/2014,601,1,1,0,1,6673.938464958406
141713,13,4,02/04/2015,501,1,1,0,1,6069.682950438536
703618,1049,2,03/09/2013,580,1,0,0,1,5162.52225800209
308360,144,4,05/02/2015,769,1,1,0,0,7827.813773953059
317995,847,3,14/08/2013,1018,1,1,0,1,9407.016224470151
364408,796,3,08/05/2013,717,1,0,0,0,5969.649911667616
27886,396,4,11/06/2015,1139,1,0,0,0,8455.973701726685
706814,1080,7,15/09/2013,0,0,0,0,0,362.5203771243406
514516,675,5,26/09/2014,338,1,0,0,0,3273.471874517981
577373,1099,1,01/12/2014,1236,1,1,0,0,12279.679126700801
190561,791,1,11/05/2015,858,1,0,0,0,7698.719270853579
92512,1014,2,24/03/2015,1476,1,0,0,0,11315.038865185268
565163,487,2,04/11/2014,737,1,1,0,0,7388.081588175601
500246,427,3,13/02/2013,701,1,0,0,1,5473.836888026645
223708,254,5,14/11/2014,282,1,1,0,0,3056.9337469785796
555732,43,5,31/01/2014,710,1,0,0,0,6732.589717344774
654150,1074,2,09/06/2015,421,1,0,0,0,3978.619626404591
558350,549,6,29/06/2013,380,1,0,0,0,4267.996424062862
52167,1095,2,08/01/2013,720,1,1,0,0,7404.0636295495415
296981,295,1,28/10/2013,612,1,0,0,1,4961.052233578657
332143,319,1,14/10/2013,863,1,0,0,1,7369.69058039308
426553,1002,4,10/04/2014,642,1,0,0,0,5129.749576162146
481847,448,6,06/12/2014,544,1,0,0,0,5312.2239429890915
100496,527,2,03/09/2013,1046,1,0,0,1,7771.614929251573
706377,255,5,12/04/2013,652,1,1,0,0,6378.502767911187
599169,581,5,04/07/2014,651,1,1,0,0,6446.229733575286
55294,185,6,05/01/2013,550,1,0,0,0,5620.732311843816
218737,244,6,22/11/2014,538,1,0,0,0,5290.451676267388
266706,1082,6,05/01/2013,877,1,0,0,0,5531.867985257276
441953,216,5,20/03/2015,837,1,1,0,0,10044.845587682225
127184,350,4,05/03/2015,508,1,1,0,0,5964.962161528104
312223,748,1,31/03/2014,822,1,1,0,0,8825.084441036905
583377,718,1,08/12/2014,962,1,0,0,0,8813.15317415805
523743,739,5,21/02/2014,789,1,1,0,0,8417.782603650112
476775,614,7,21/12/2014,0,0,0,0,0,0.0
620142,673,2,18/02/2014,615,1,1,0,0,6803.60310537473
460092,83,1,10/06/2013,367,1,0,0,0,3635.06761364388
169260,976,3,18/09/2013,598,1,0,0,0,4884.008844716098
177084,637,6,06/04/2013,518,1,0,0,0,5005.225949431723
645354,122,2,07/01/2014,714,1,1,0,0,7407.033831899907
645737,898,1,24/11/2014,1013,1,1,0,0,10226.154847102001
272578,1080,4,26/06/2014,710,1,0,0,0,7749.563745543896
600374,291,1,30/03/2015,1290,1,1,0,0,12485.492473705444
566038,24,4,03/01/2013,711,1,0,0,1,6659.665673784979
381862,1096,7,18/08/2013,0,0,0,0,0,0.0
535335,637,5,30/05/2014,860,1,0,0,0,7652.3779753449935
499411,1002,2,02/06/2015,850,1,1,0,0,8867.739666598956
625219,666,1,10/03/2014,497,1,0,0,0,4300.841562820047
61823,1089,7,24/11/2013,0,0,0,0,0,136.04638518479717
653471,334,6,31/08/2013,515,1,0,0,0,4387.301444501108
441789,300,6,30/08/2014,951,1,0,0,1,7577.353010354376
155435,207,1,22/09/2014,1166,1,0,0,0,8654.144168042101
226567,683,3,27/05/2015,854,1,0,0,0,5982.666348170321
107330,1094,2,14/05/2013,394,1,1,0,0,5357.795312395007
149417,700,4,09/07/2015,576,1,0,0,0,5645.471730766756
191690,959,2,26/08/2014,744,1,0,0,0,5801.168583463183
146544,766,7,22/06/2014,0,0,0,0,0,334.01658549084357
383603,1011,6,08/06/2013,977,1,0,0,0,7894.641789501916
452941,570,5,13/12/2013,676,1,0,0,0,5668.473037700827
629103,685,2,10/09/2013,689,1,1,0,0,7931.613689195609
30258,158,3,16/04/2014,681,1,1,0,1,7869.575566799772
219501,66,5,29/05/2015,522,1,0,0,1,5813.703648610009
528607,76,2,30/07/2013,1080,1,1,0,0,9719.805502286685
397525,572,3,16/10/2013,458,1,0,0,0,4634.682650377133
314281,184,6,11/10/2014,510,1,0,0,0,4572.19378200317
489418,1034,5,06/12/2013,775,1,1,0,0,9106.51093911377
182776,559,7,11/08/2013,0,0,0,0,0,0.0
335928,862,2,23/12/2014,1561,1,0,0,1,11758.181296291004
198358,171,2,11/11/2014,962,1,1,0,0,8952.379285824605
400219,33,7,07/12/2014,0,0,0,0,0,136.4463844412223
427476,936,4,27/11/2014,963,1,1,0,0,8150.263369266375
31892,948,2,18/02/2014,1682,1,1,0,0,11887.121124884085
109374,371,6,04/05/2013,551,1,0,0,0,6132.339369862026
385320,242,1,05/05/2014,378,1,1,0,0,5100.838285547151
517169,133,5,17/01/2014,622,1,0,0,0,5713.814292138116
369733,1031,1,15/12/2014,681,1,1,0,0,8186.114700143617
71343,850,4,07/02/2013,710,1,1,0,0,6756.652612060417
42363,860,5,05/06/2015,833,1,1,0,0,8402.943784243156
612665,836,6,06/07/2013,301,1,0,0,0,2399.3135292587417
428563,965,6,30/11/2013,908,1,0,0,0,7330.278756105893
610249,1096,1,26/01/2015,763,1,1,0,0,7323.625116458245
669222,504,3,03/09/2014,836,1,1,0,1,7771.919994530047
484348,230,1,30/12/2013,1327,1,0,0,1,11608.156547604845
194089,826,1,02/12/2013,1170,1,1,0,0,12156.500918217698
328888,975,2,30/07/2013,767,1,1,0,1,7450.608861977909
485880,602,2,28/10/2014,547,1,0,0,1,5012.663328046661
699868,953,5,19/09/2014,553,1,1,0,0,5634.53572432479
265929,187,6,02/11/2013,491,1,0,0,0,4952.705507519908
154648,792,5,18/10/2013,599,1,0,0,0,5509.711881217628
376328,1035,4,27/11/2014,744,1,1,0,0,6962.985330549185
530275,523,3,29/07/2015,1515,1,1,0,1,14288.307173602185
441109,723,4,04/04/2013,461,1,0,0,1,4435.044586518411
26050,1025,7,26/05/2013,0,0,0,0,0,0.0
247671,18,7,04/01/2015,0,0,0,0,0,0.0
615467,997,3,03/09/2014,378,1,1,0,1,4516.77710650305
267972,400,6,05/10/2013,805,1,0,0,0,6806.3553458394035
22318,1047,2,09/07/2013,491,1,0,0,0,5526.356911479509
430083,819,1,02/09/2013,472,1,0,0,0,4205.996961975135
510014,668,1,02/06/2014,1562,1,1,0,0,13497.44278134683
343803,585,4,22/01/2015,666,1,0,0,0,5443.8026858593075
85161,99,1,10/03/2014,404,1,0,0,0,3886.306287961133
505852,965,6,22/11/2014,847,1,0,0,0,7176.659888614989
266131,590,4,21/02/2013,376,1,1,0,0,4332.591932954347
397091,709,2,02/06/2015,1682,1,1,0,0,14323.99947710372
112013,58,7,20/10/2013,0,0,0,0,0,587.1396891238194
492019,409,7,09/02/2014,0,0,0,0,0,82.24137313432077
73240,850,6,04/04/2015,826,1,0,0,0,7667.364642956293
203948,1058,3,06/03/2013,737,1,1,0,0,7008.94591142055
603210,1067,7,13/04/2014,0,0,0,0,0,31.742419532488096
82813,777,1,21/04/2014,0,0,0,b,1,0.0
634511,155,3,21/05/2014,632,1,1,0,0,7440.263441072918
28171,598,1,29/06/2015,871,1,1,0,0,8526.74513684354
198571,493,2,01/07/2014,902,1,1,0,0,8636.63321866954
70073,628,7,03/08/2014,0,0,0,0,1,74.9493631929837
551321,524,1,30/12/2013,1193,1,0,0,1,11187.260236449412
509286,966,4,04/04/2013,585,1,0,0,1,4979.949362263387
24413,1022,5,27/12/2013,791,1,0,0,1,6912.211630242902
367168,380,3,05/03/2014,1720,1,1,0,0,13380.802047396897
103724,132,3,14/01/2015,579,1,1,0,0,6344.068074207167
704886,400,5,26/06/2015,999,1,0,0,0,7918.32368682234
568270,988,4,29/08/2013,790,1,1,0,0,6479.957385222937
627934,906,2,19/03/2013,1476,1,1,0,0,11747.242390731984
520091,1028,2,05/11/2013,689,1,1,0,0,6917.339957918692
505933,1100,6,23/03/2013,484,1,0,0,0,3824.507751845555
67603,759,1,14/01/2013,607,1,0,0,0,4672.289670440755
96570,223,1,27/10/2014,716,1,0,0,0,5653.603719683053
696883,936,7,15/03/2015,0,0,0,0,0,0.0
216455,780,6,11/07/2015,341,1,0,0,0,3599.7561986691676
472114,259,5,28/11/2014,2677,1,1,0,0,15493.67354667956
437836,131,6,09/11/2013,582,1,0,0,0,5657.178326853727
467331,251,3,28/01/2015,2241,1,1,0,0,18518.564191556306
423483,1079,6,17/01/2015,517,1,0,0,0,5831.344020437339
533535,1003,3,05/03/2014,1029,1,1,0,0,9229.975384201045
82465,980,4,05/09/2013,450,1,0,0,0,4178.774861934835
245480,654,2,27/01/2015,766,1,1,0,0,7955.264385793872
155723,966,4,25/07/2013,517,1,0,0,1,4325.988163408394
167485,1020,1,22/09/2014,929,1,0,0,0,8148.55119715003
574217,969,3,19/03/2014,610,1,1,0,0,5654.330398362364
307718,1038,2,07/04/2015,490,1,0,0,1,4996.374201579517
250666,516,3,09/07/2014,453,1,0,0,1,4462.353678475172
233447,733,1,14/01/2013,3171,1,0,0,0,14309.080372071012
9408,595,6,31/05/2014,1881,1,0,0,0,13172.066034049223
532318,260,3,16/07/2014,962,1,1,0,1,7275.59131064318
213221,768,6,02/02/2013,1251,1,0,0,0,10864.668336063663
149118,940,1,14/01/2013,627,1,0,0,0,5419.827428960977
643815,364,4,27/06/2013,563,1,0,0,0,4782.968202775103
205464,506,3,22/07/2015,763,1,0,0,1,6781.751144797143
172737,671,3,29/05/2013,507,1,1,0,1,5381.02539948307
358803,300,6,24/01/2015,862,1,0,0,0,7640.066479715712
432064,84,2,17/06/2014,1563,1,1,0,0,14893.438210845032
243176,219,4,07/05/2015,455,1,1,0,0,4432.5305294757645
165487,934,5,22/03/2013,764,1,1,0,0,6930.889205246418
206630,125,3,01/04/2015,1906,1,1,0,1,16426.864444898147
380228,176,3,04/12/2013,757,1,1,0,0,7985.6779197452215
278339,223,2,26/11/2013,675,1,0,0,0,5657.35438022326
125602,326,1,14/07/2014,429,1,1,0,0,5762.175055730022
707930,339,2,27/08/2013,745,1,1,0,0,7311.544910223835
647013,872,3,08/04/2015,659,1,0,0,1,6399.529937206582
404917,579,7,23/11/2014,0,0,0,0,0,256.0224657992702
607690,974,5,28/02/2014,1599,1,0,0,0,10902.496176744038
63394,979,7,12/04/2015,0,0,0,0,0,257.72575850964495
334403,880,3,04/06/2014,806,1,1,0,0,8129.451761484437
440195,910,7,31/03/2013,0,0,0,0,0,83.8309272657669
87636,1084,6,04/07/2015,614,1,0,0,0,6359.229756284194
189540,92,5,12/06/2015,453,1,0,0,0,4543.8588174772785
18218,14,6,20/06/2015,402,1,0,0,0,4221.720284301444
396021,587,1,30/12/2013,960,1,0,0,1,8040.067515381288
442052,230,4,24/10/2013,856,1,1,0,0,8761.29797013544
397202,689,6,15/03/2014,589,1,0,0,0,5748.993267619459
251121,599,1,13/05/2013,1096,1,1,0,0,9813.974070638023
463013,596,7,22/12/2013,0,0,0,0,0,1153.4205535239748
655331,576,1,11/03/2013,749,1,0,0,0,6561.988074875476
327407,141,4,26/06/2014,493,1,0,0,0,4384.783759401133
355157,751,1,21/04/2014,0,0,0,b,1,110.11226434220598
654124,877,5,01/03/2013,925,1,0,0,0,7194.28696943807
602473,375,2,23/04/2013,948,1,1,0,0,9633.727062372729
414480,230,1,08/12/2014,988,1,0,0,0,9774.0455661735
574764,545,3,22/01/2014,1087,1,1,0,0,10290.61004346486
136740,1022,1,04/03/2013,1093,1,1,0,0,10699.977518724372
240843,597,3,20/08/2014,756,1,1,0,1,6464.666665474667
130323,559,7,08/06/2014,0,0,0,0,0,0.0
688030,1024,6,18/07/2015,825,1,0,0,0,7531.349890771795
43133,36,2,17/03/2015,1205,1,1,0,0,13710.341826813714
172856,702,2,28/05/2013,351,1,1,0,1,4322.858408723605
446048,623,7,10/02/2013,0,0,0,0,0,129.5893541133508
36534,105,4,17/10/2013,483,1,0,0,0,4379.112646234923
612801,902,2,19/11/2013,648,1,1,0,0,7127.832591888139
256750,11,6,11/04/2015,786,1,0,0,0,6783.4122712716735
623446,1039,5,28/06/2013,629,1,0,0,0,5429.477714197238
63314,102,1,16/02/2015,1174,1,1,0,0,11910.150252898928
238452,543,5,18/10/2013,175,1,0,0,1,1775.8932043115487
43919,827,4,02/01/2014,1910,1,0,0,1,14278.685062366369
258378,110,3,08/10/2014,647,1,1,0,0,6306.308399430239
59774,945,1,05/01/2015,698,1,1,0,1,7009.536196112509
31637,582,3,12/03/2014,749,1,0,0,0,5704.860504251653
673741,554,4,16/01/2014,428,1,0,0,0,4695.944352294789
659942,486,2,08/07/2014,384,1,0,0,1,3864.4187959592955
349639,637,6,15/02/2014,520,1,0,0,0,5637.144941095032
394865,806,5,31/01/2014,578,1,0,0,0,6264.189780778148
255648,887,6,21/06/2014,462,1,0,0,0,4639.660194828702
379128,374,6,04/04/2015,668,1,0,0,0,7600.541462379743
540897,1025,5,04/01/2013,804,1,0,0,1,6398.228433790327
662220,638,2,06/08/2013,431,1,0,0,1,4439.6204535201505
160268,123,6,09/05/2015,490,1,0,0,0,5073.873689754118
654290,905,4,19/02/2015,1108,1,1,0,0,11219.939241880742
599039,536,5,05/04/2013,989,1,0,0,1,8643.55024657968
651027,763,7,01/02/2015,0,0,0,0,0,0.0
553569,191,6,10/08/2013,694,1,0,0,0,6586.2438686766955
271750,957,4,20/02/2014,948,1,1,0,0,8270.85334386658
709864,268,4,04/06/2015,618,1,1,0,0,6563.707143757612
300796,654,6,07/09/2013,266,1,0,0,0,2456.675201316596
413674,612,6,07/09/2013,388,1,0,0,0,3608.967427033409
8402,747,3,27/08/2014,567,1,0,0,1,5393.492031222963
310059,656,6,18/05/2013,380,1,0,0,0,3844.415111682796
319105,368,5,05/04/2013,592,1,0,0,1,5475.1586402809635
689752,959,3,18/09/2013,552,1,0,0,0,4545.5571557175945
516276,329,2,03/02/2015,708,1,1,0,0,7455.627673768968
338342,97,3,22/07/2015,535,1,0,0,1,5396.787540021298
666229,314,2,13/08/2013,661,1,1,0,1,7121.283150327631
8353,463,7,11/01/2015,0,0,0,0,0,0.0
386012,258,1,20/05/2013,0,0,0,a,0,0.0
471619,283,3,13/11/2013,621,1,0,0,0,5363.910607277477
612347,556,1,15/04/2013,754,1,0,0,0,6340.760754848583
514445,388,5,24/01/2014,1211,1,1,0,0,10606.950630776524
396179,67,3,03/09/2014,837,1,1,0,1,9004.374034605204
590638,725,5,16/01/2015,677,1,1,0,0,7302.369265726519
683448,219,4,06/06/2013,416,1,1,0,0,4092.746290309658
218062,1077,2,10/02/2015,479,1,0,0,0,3694.2599644123325
706606,322,4,23/05/2013,589,1,0,0,0,5538.844759279373
453487,814,3,20/02/2013,581,1,1,0,1,5990.745593079906
240904,134,7,30/06/2013,0,0,0,0,0,0.0
326681,54,4,11/07/2013,657,1,0,0,0,5905.645892062864
272937,662,5,26/04/2013,854,1,1,0,0,8354.05324755479
11415,126,7,19/04/2015,0,0,0,0,0,102.4070945476633
436957,1001,6,30/11/2013,471,1,0,0,0,5110.292433584318
171033,657,4,13/02/2014,598,1,0,0,0,5360.677214682388
632521,590,4,14/03/2013,319,1,0,0,0,3035.2311225281446
179002,193,3,25/12/2013,0,0,0,c,1,1426.2925153630003
345971,168,6,21/09/2013,465,1,0,0,0,4445.320262694874
463457,16,1,22/07/2013,839,1,0,0,0,6666.324262082331
674866,244,1,04/02/2013,738,1,1,0,0,7737.371444112344
479231,545,7,08/02/2015,0,0,0,0,0,36.67846707507487
369184,1032,6,19/01/2013,492,1,0,0,0,4792.131956478928
564608,290,5,31/05/2013,987,1,1,0,0,9083.875908268059
421305,548,4,24/01/2013,335,1,1,0,0,3948.971031482487
312789,733,1,04/08/2014,3508,1,1,0,1,17487.82497656223
548456,654,4,06/06/2013,716,1,1,0,0,7302.226075008835
195259,272,6,04/05/2013,377,1,0,0,0,3841.7390089042788
669573,1017,3,20/03/2013,1176,1,1,0,0,10123.851434735152
599293,708,2,20/05/2014,462,1,1,0,0,5696.211490046055
33900,819,4,08/01/2015,454,1,1,0,0,5004.0856600650195
74619,99,3,26/06/2013,372,1,0,0,0,3850.562249153855
284898,982,2,10/12/2013,710,1,0,0,0,6751.342227344989
402135,683,5,03/04/2015,0,0,1,b,1,17.287650273799688
447277,194,3,16/10/2013,373,1,0,0,0,3060.319935886856
588164,853,2,30/06/2015,1201,1,1,0,0,11080.686644837024
456931,53,1,28/04/2014,650,1,1,0,1,8911.986985156102
221701,281,4,07/02/2013,508,1,1,0,0,5907.116205809629
535271,101,2,02/09/2014,879,1,1,0,0,9416.533279040834
171677,440,5,05/06/2015,769,1,1,0,1,8148.883097468159
226127,994,2,18/03/2014,435,1,1,0,0,5414.21422681778
414979,168,2,30/07/2013,930,1,1,0,1,8679.954519517407
500051,48,7,27/10/2013,0,0,0,0,0,0.0
329177,652,6,15/02/2014,501,1,0,0,0,4945.101430785397
541113,934,6,11/01/2014,474,1,0,0,0,4593.8234291470435
124681,223,6,29/03/2014,589,1,0,0,0,5497.803271579323
284177,378,5,26/12/2014,0,0,0,c,1,355.5487615922046
90749,865,3,17/07/2013,624,1,1,0,0,5641.949687217915
237894,466,5,31/01/2014,861,1,0,0,0,7348.268727048216
506152,789,5,14/02/2014,546,1,0,0,0,5401.493792093761
622882,61,7,07/06/2015,0,0,0,0,0,287.656742783643
34430,765,4,19/12/2013,1068,1,1,0,0,9789.261887542867
268594,673,1,23/02/2015,500,1,0,0,0,4367.397287482209
368485,258,3,25/06/2014,444,1,0,0,0,4225.764680238943
602478,740,3,08/10/2014,499,1,1,0,0,5976.715797173521
202788,1080,1,16/09/2013,764,1,0,0,0,8209.169565800523
675955,918,5,20/06/2014,661,1,1,0,0,6615.371934998461
611958,857,6,22/06/2013,1004,1,0,0,0,7832.726483291965
597571,837,1,01/07/2013,482,1,1,0,0,5329.459309596625
317074,516,7,01/03/2015,0,0,0,0,0,32.54303676818651
380943,446,2,27/05/2014,505,1,0,0,0,4172.772996780793
649251,835,4,30/05/2013,0,0,1,a,0,0.0
386136,140,7,03/02/2013,0,0,0,0,0,69.63251407777345
411910,207,3,14/08/2013,1584,1,1,0,0,12935.041154679186
119756,961,4,29/01/2015,668,1,1,0,0,6460.233588646463
251963,772,2,18/03/2014,507,1,1,0,0,5166.424275361586
292719,1089,2,02/09/2014,1050,1,1,0,0,9604.768856898481
77065,521,3,05/03/2014,421,1,1,0,0,4640.524022376994
206967,823,5,17/01/2014,600,1,0,0,0,5792.15759012405
521339,436,6,14/09/2013,426,1,0,0,0,3750.268253383473
363365,483,7,09/03/2014,0,0,0,0,0,8.589798505945671
481077,215,2,25/03/2014,333,1,0,0,0,3534.115385629308
711386,109,5,29/05/2015,802,1,0,0,0,8461.252699868499
66970,858,1,16/12/2013,590,1,1,0,0,6720.691556075922
435729,425,4,05/03/2015,501,1,1,0,0,4967.1002815953125
426284,357,5,24/07/2015,905,1,0,0,1,7767.19197337877
435236,255,1,02/02/2015,575,1,1,0,0,6658.751879487352
199039,798,6,07/02/2015,343,1,0,0,0,3224.316684187421
99250,366,6,23/03/2013,304,1,0,0,0,2909.5647285802015
580140,534,2,07/04/2015,510,1,0,0,1,5586.02620748149
254820,179,5,20/06/2014,1176,1,1,0,0,10899.052680962355
155130,258,2,03/09/2013,464,1,0,0,1,4144.943887397377
503682,693,5,29/08/2014,384,1,0,0,1,4116.296978186227
288534,999,4,24/10/2013,685,1,1,0,1,7148.229052138258
67050,834,6,19/04/2014,492,1,0,0,0,4888.773428973841
174771,512,4,31/10/2013,1410,1,0,0,1,8550.300766579323
442288,818,2,23/04/2013,662,1,1,0,0,6744.870093910273
606734,534,6,12/10/2013,606,1,0,0,0,6298.655001242913
431156,1084,2,17/12/2013,1099,1,1,0,0,10949.993650467262
424121,34,2,10/03/2015,861,1,0,0,0,7413.521889723746
557753,101,4,27/03/2014,686,1,0,0,0,6497.982441858073
520831,187,1,02/03/2015,885,1,1,0,0,9810.274417543926
376589,20,1,23/09/2013,1041,1,1,0,0,10521.367851052346
7670,828,7,26/10/2014,0,0,0,0,0,0.0
303546,434,1,12/08/2013,823,1,1,0,1,8584.766599750616
236740,738,1,04/05/2015,864,1,1,0,0,9453.7792229415
145734,351,5,07/03/2014,569,1,1,0,0,6523.397745828581
134420,1020,4,30/01/2014,905,1,0,0,0,7839.692857962507
691699,86,7,11/08/2013,0,0,0,0,0,0.0
233889,266,3,17/06/2015,573,1,1,0,0,6322.302181916227
653554,608,5,20/06/2014,1024,1,1,0,0,9147.62676005243
481046,708,5,21/02/2014,493,1,1,0,1,5755.93398152899
423103,734,3,05/02/2014,605,1,1,0,0,6584.41267171393
693486,776,7,07/06/2015,0,0,0,0,0,557.2903056060604
90193,1060,2,09/04/2013,853,1,1,0,0,8170.050544747847
119482,182,2,29/04/2014,507,1,1,0,0,5848.2766732288965
525167,542,3,16/01/2013,431,1,0,0,0,4303.038732364698
239754,602,1,06/05/2013,610,1,0,0,0,5543.471341450568
332806,101,4,07/11/2013,777,1,1,0,0,8219.301610236345
142056,784,7,30/06/2013,0,0,0,0,0,0.0
673000,679,7,17/11/2013,0,0,0,0,0,27.674426461874596
567353,535,4,14/08/2014,793,1,0,0,1,7208.163515908276
696641,844,4,06/02/2014,516,1,1,0,0,5414.574087929026
628766,595,7,24/05/2015,0,0,0,0,0,116.32358715408543
544695,25,6,30/03/2013,1831,1,0,0,0,13372.632360791446
652921,416,3,03/12/2014,1819,1,1,0,0,15508.634448457213
436682,539,4,22/01/2015,966,1,0,0,0,7514.126830678765
158580,77,3,28/08/2013,642,1,1,0,0,6878.6974473043
184394,641,2,09/07/2013,493,1,0,0,0,5446.4165962294965
523534,445,6,10/01/2015,1201,1,0,0,0,9815.34827580987
